STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,62299,4,4,0,0,August,Thrusday,1,1,0,1
California,62300,2,2,0,0,November,Friday,3,1,0,1
California,62301,2,1,1,0,August,Saturday,3,0,0,1
California,62302,2,2,0,0,October,Sunday,9,2,0,1
California,62303,4,1,3,0,February,Friday,9,0,0,1
California,62304,1,1,0,1,October,Tuesday,9,0,0,1
California,62305,1,1,0,0,March,Friday,9,0,0,1
California,62306,1,1,0,1,November,Thrusday,9,0,0,1
California,62307,1,1,0,0,December,Tuesday,9,0,0,1
California,62308,1,1,0,1,December,Saturday,9,0,0,1
California,62309,1,1,0,1,June,Friday,9,0,0,1
California,62310,1,1,0,1,April,Monday,9,0,0,1
California,62311,2,2,0,0,July,Tuesday,1,1,0,3
California,62312,1,1,0,0,October,Sunday,3,0,0,1
California,62313,1,1,0,0,October,Friday,1,0,1,1
California,62314,2,2,0,0,August,Tuesday,3,2,0,1
California,62315,1,1,0,0,October,Sunday,3,0,1,1
California,62316,1,1,0,0,November,Saturday,3,0,0,1
California,62317,2,2,0,0,November,Saturday,3,7,0,1
California,62318,1,1,0,0,October,Sunday,1,0,1,1
California,62319,1,1,0,1,June,Thrusday,1,0,0,1
California,62320,1,1,0,0,September,Wednesday,1,0,0,1
California,62321,2,2,0,0,June,Tuesday,1,2,1,2
California,62322,1,1,0,0,August,Sunday,1,0,0,1
California,62323,2,2,0,0,September,Tuesday,3,0,0,1
California,62324,1,1,0,0,November,Friday,1,0,1,1
California,62325,1,1,0,0,September,Wednesday,9,0,0,1
California,62326,1,1,0,1,August,Monday,9,0,1,1
California,62327,4,4,0,0,November,Friday,6,6,0,1
California,62328,3,3,0,0,August,Thrusday,9,2,0,1
California,62329,1,1,0,0,November,Saturday,1,0,1,1
California,62330,1,1,0,1,August,Friday,9,0,0,1
California,62331,2,2,0,0,September,Tuesday,3,6,0,1
California,62332,2,2,0,1,August,Tuesday,3,0,0,1
California,62333,1,1,0,0,November,Thrusday,9,0,0,1
California,62334,2,2,0,0,July,Monday,9,2,0,1
California,62335,2,2,0,0,October,Thrusday,9,2,1,1
California,62336,2,2,0,0,June,Saturday,2,1,1,1
California,62337,1,1,0,0,August,Monday,3,0,0,1
California,62338,3,1,2,3,October,Wednesday,9,0,0,1
California,62339,2,2,0,0,June,Wednesday,2,1,0,1
California,62340,1,1,0,1,July,Sunday,2,0,0,1
California,62341,1,1,0,1,November,Saturday,3,0,0,1
California,62342,2,2,0,0,September,Thrusday,3,2,1,2
California,62343,2,2,0,0,November,Monday,9,6,0,1
California,62344,2,2,0,0,September,Saturday,2,6,0,2
California,62345,2,2,0,0,October,Monday,9,2,0,2
California,62346,1,1,0,0,October,Tuesday,9,0,0,2
California,62347,3,3,0,2,August,Sunday,1,0,1,1
California,62348,1,1,0,0,October,Wednesday,9,0,1,1
California,62349,1,1,0,0,August,Saturday,9,0,0,1
California,62350,2,2,0,0,December,Tuesday,9,2,0,1
California,62351,1,1,0,1,July,Sunday,9,0,1,1
California,62352,5,5,0,0,August,Friday,2,6,0,1
California,62353,1,1,0,0,June,Saturday,3,0,0,1
California,62354,2,2,0,0,July,Thrusday,3,1,0,1
California,62355,2,2,0,0,August,Friday,1,0,0,1
California,62356,2,2,0,0,November,Wednesday,2,6,0,3
California,62357,2,2,0,0,November,Saturday,3,2,0,1
California,62358,2,2,0,0,November,Sunday,9,2,1,1
California,62359,1,1,0,0,December,Monday,1,0,1,1
California,62360,1,1,0,1,November,Thrusday,9,0,0,1
California,62361,2,2,0,0,December,Friday,9,6,0,1
